popped 		SEARCH_STATE [f_value=3.9915850900844365, g_value=3.457016094951957, h_value=0.5345689951324796, id=26, parent=25]
new 		SEARCH_STATE [f_value=4.258995835276655, g_value=3.744068821509874, h_value=0.5149270137667809, id=28, parent=26]
popped 		SEARCH_STATE [f_value=4.258995835276655, g_value=3.744068821509874, h_value=0.5149270137667809, id=28, parent=26]
new 		SEARCH_STATE [f_value=4.798517085471384, g_value=4.323451398973457, h_value=0.4750656864979268, id=29, parent=28]
new 		SEARCH_STATE [f_value=5.253257497718808, g_value=3.744068821509874, h_value=1.509188676208934, id=30, parent=28]
popped 		SEARCH_STATE [f_value=4.798517085471384, g_value=4.323451398973457, h_value=0.4750656864979268, id=29, parent=28]
new 		SEARCH_STATE [f_value=5.069958578069279, g_value=4.615117832475821, h_value=0.4548407455934579, id=31, parent=29]
popped 		SEARCH_STATE [f_value=5.069958578069279, g_value=4.615117832475821, h_value=0.4548407455934579, id=31, parent=29]
new 		SEARCH_STATE [f_value=5.6150867200263885, g_value=5.201297272362122, h_value=0.4137894476642668, id=32, parent=31]
new 		SEARCH_STATE [f_value=5.290809598551153, g_value=4.615117832475821, h_value=0.6756917660753317, id=33, parent=31]
popped 		SEARCH_STATE [f_value=5.253257497718808, g_value=3.744068821509874, h_value=1.509188676208934, id=30, parent=28]
new 		SEARCH_STATE [f_value=5.6109245246648936, g_value=3.744068821509874, h_value=1.86685570315502, id=34, parent=30]
popped 		SEARCH_STATE [f_value=5.290809598551153, g_value=4.615117832475821, h_value=0.6756917660753317, id=33, parent=31]
new 		SEARCH_STATE [f_value=5.61993051758924, g_value=4.615117832475821, h_value=1.0048126851134185, id=35, parent=33]
popped 		SEARCH_STATE [f_value=5.605726812087996, g_value=3.2143372999824424, h_value=2.3913895121055533, id=27, parent=25]
new 		SEARCH_STATE [f_value=5.9432372656273955, g_value=3.2143372999824424, h_value=2.728899965644953, id=36, parent=27]
popped 		SEARCH_STATE [f_value=5.6109245246648936, g_value=3.744068821509874, h_value=1.86685570315502, id=34, parent=30]
new 		SEARCH_STATE [f_value=5.929355440594505, g_value=3.744068821509874, h_value=2.185286619084631, id=37, parent=34]
popped 		SEARCH_STATE [f_value=5.6150867200263885, g_value=5.201297272362122, h_value=0.4137894476642668, id=32, parent=31]
new 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.4955058930960305, h_value=0.3929571731877796, id=38, parent=32]
popped 		SEARCH_STATE [f_value=5.61993051758924, g_value=4.615117832475821, h_value=1.0048126851134185, id=35, parent=33]
new 		SEARCH_STATE [f_value=6.3339513067477995, g_value=4.615117832475821, h_value=1.7188334742719777, id=39, parent=35]
popped 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.4955058930960305, h_value=0.3929571731877796, id=38, parent=32]
new 		SEARCH_STATE [f_value=6.591058077878806, g_value=6.085619687112803, h_value=0.5054383907660023, id=40, parent=38]
new 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.5129197269611705, h_value=0.37554333932263967, id=41, parent=38]
popped 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.5129197269611705, h_value=0.37554333932263967, id=41, parent=38]
FOUND PATH
new 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.745694444108846, h_value=0.1427686221749639, id=42, parent=41]
popped 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.745694444108846, h_value=0.1427686221749639, id=42, parent=41]
new 		SEARCH_STATE [f_value=7.370151260879089, g_value=5.745694444108846, h_value=1.6244568167702427, id=43, parent=42]
popped 		SEARCH_STATE [f_value=5.929355440594505, g_value=3.744068821509874, h_value=2.185286619084631, id=37, parent=34]
new 		SEARCH_STATE [f_value=6.4794136323893206, g_value=4.294127013304689, h_value=2.185286619084631, id=44, parent=37]
new 		SEARCH_STATE [f_value=6.368862123538943, g_value=3.744068821509874, h_value=2.6247933020290684, id=45, parent=37]
popped 		SEARCH_STATE [f_value=5.9432372656273955, g_value=3.2143372999824424, h_value=2.728899965644953, id=36, parent=27]
new 		SEARCH_STATE [f_value=6.08079381415241, g_value=3.2143372999824424, h_value=2.866456514169968, id=46, parent=36]
popped 		SEARCH_STATE [f_value=6.08079381415241, g_value=3.2143372999824424, h_value=2.866456514169968, id=46, parent=36]
updated 	SEARCH_STATE [f_value=6.055415839817979, g_value=3.43062253778891, h_value=2.6247933020290684, id=45, parent=46]
popped 		SEARCH_STATE [f_value=6.055415839817979, g_value=3.43062253778891, h_value=2.6247933020290684, id=45, parent=46]
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=3.7197123619291994, h_value=2.6247933020290684, id=37, parent=45]
popped 		SEARCH_STATE [f_value=6.3339513067477995, g_value=4.615117832475821, h_value=1.7188334742719777, id=39, parent=35]
new 		SEARCH_STATE [f_value=6.629080009856459, g_value=4.910246535584481, h_value=1.7188334742719777, id=47, parent=39]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=3.7197123619291994, h_value=2.6247933020290684, id=37, parent=45]
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=4.159219044873637, h_value=2.185286619084631, id=34, parent=37]
updated 	SEARCH_STATE [f_value=6.4794136323893206, g_value=4.294127013304689, h_value=2.185286619084631, id=44, parent=37]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=4.159219044873637, h_value=2.185286619084631, id=34, parent=37]
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=4.477649960803248, h_value=1.86685570315502, id=30, parent=34]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=4.477649960803248, h_value=1.86685570315502, id=30, parent=34]
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=4.835316987749334, h_value=1.509188676208934, id=28, parent=30]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=4.835316987749334, h_value=1.509188676208934, id=28, parent=30]
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.869439977460341, h_value=0.4750656864979268, id=29, parent=28]
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.829578650191487, h_value=0.5149270137667809, id=26, parent=28]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.869439977460341, h_value=0.4750656864979268, id=29, parent=28]
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.88966491836481, h_value=0.4548407455934579, id=31, parent=29]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.88966491836481, h_value=0.4548407455934579, id=31, parent=29]
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.930716216294001, h_value=0.4137894476642668, id=32, parent=31]
new 		SEARCH_STATE [f_value=6.565356684440141, g_value=5.88966491836481, h_value=0.6756917660753317, id=33, parent=31]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.930716216294001, h_value=0.4137894476642668, id=32, parent=31]
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.951548490770488, h_value=0.3929571731877796, id=38, parent=32]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.951548490770488, h_value=0.3929571731877796, id=38, parent=32]
updated 	SEARCH_STATE [f_value=6.591058077878806, g_value=6.085619687112803, h_value=0.5054383907660023, id=40, parent=38]
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.968962324635628, h_value=0.37554333932263967, id=41, parent=38]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.968962324635628, h_value=0.37554333932263967, id=41, parent=38]
FOUND PATH
new 		SEARCH_STATE [f_value=6.344505663958268, g_value=6.2017370417833035, h_value=0.1427686221749639, id=42, parent=41]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=6.2017370417833035, h_value=0.1427686221749639, id=42, parent=41]
popped 		SEARCH_STATE [f_value=6.344505663958268, g_value=5.829578650191487, h_value=0.5149270137667809, id=26, parent=28]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=2.797033792787956, h_value=3.6438524104448407, id=23, parent=20]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=3.0629228425837733, h_value=3.3779633606490234, id=46, parent=23]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=3.0629228425837733, h_value=3.3779633606490234, id=46, parent=23]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=3.574429689062829, h_value=2.866456514169968, id=45, parent=46]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=3.574429689062829, h_value=2.866456514169968, id=36, parent=46]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=3.574429689062829, h_value=2.866456514169968, id=45, parent=46]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=3.8160929012037283, h_value=2.6247933020290684, id=37, parent=45]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=3.8160929012037283, h_value=2.6247933020290684, id=37, parent=45]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=4.2555995841481655, h_value=2.185286619084631, id=34, parent=37]
updated 	SEARCH_STATE [f_value=6.4794136323893206, g_value=4.294127013304689, h_value=2.185286619084631, id=44, parent=37]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=4.2555995841481655, h_value=2.185286619084631, id=34, parent=37]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=4.574030500077777, h_value=1.86685570315502, id=30, parent=34]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=4.574030500077777, h_value=1.86685570315502, id=30, parent=34]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=4.9316975270238625, h_value=1.509188676208934, id=28, parent=30]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=4.9316975270238625, h_value=1.509188676208934, id=28, parent=30]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=5.96582051673487, h_value=0.4750656864979268, id=29, parent=28]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=5.925959189466016, h_value=0.5149270137667809, id=26, parent=28]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=5.96582051673487, h_value=0.4750656864979268, id=29, parent=28]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=5.986045457639339, h_value=0.4548407455934579, id=31, parent=29]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=5.986045457639339, h_value=0.4548407455934579, id=31, parent=29]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=6.02709675556853, h_value=0.4137894476642668, id=32, parent=31]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=6.02709675556853, h_value=0.4137894476642668, id=32, parent=31]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=6.047929030045017, h_value=0.3929571731877796, id=38, parent=32]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=6.047929030045017, h_value=0.3929571731877796, id=38, parent=32]
updated 	SEARCH_STATE [f_value=6.591058077878806, g_value=6.085619687112803, h_value=0.5054383907660023, id=40, parent=38]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=6.065342863910157, h_value=0.37554333932263967, id=41, parent=38]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=6.065342863910157, h_value=0.37554333932263967, id=41, parent=38]
FOUND PATH
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=6.2981175810578325, h_value=0.1427686221749639, id=42, parent=41]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=6.2981175810578325, h_value=0.1427686221749639, id=42, parent=41]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=5.925959189466016, h_value=0.5149270137667809, id=26, parent=28]
new 		SEARCH_STATE [f_value=6.460528184598496, g_value=5.925959189466016, h_value=0.5345689951324796, id=25, parent=26]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=3.574429689062829, h_value=2.866456514169968, id=36, parent=46]
new 		SEARCH_STATE [f_value=6.440886203232797, g_value=3.711986237587857, h_value=2.7288999656449398, id=27, parent=36]
popped 		SEARCH_STATE [f_value=6.440886203232797, g_value=3.711986237587857, h_value=2.7288999656449398, id=27, parent=36]
updated 	SEARCH_STATE [f_value=4.5840656862597235, g_value=4.049496691127244, h_value=0.5345689951324796, id=25, parent=27]
popped 		SEARCH_STATE [f_value=4.5840656862597235, g_value=4.049496691127244, h_value=0.5345689951324796, id=25, parent=27]
new 		SEARCH_STATE [f_value=4.622787937601521, g_value=4.049496691127244, h_value=0.5732912464742764, id=24, parent=25]
new 		SEARCH_STATE [f_value=4.5840656862597235, g_value=4.049496691127244, h_value=0.5345689951324796, id=26, parent=25]
popped 		SEARCH_STATE [f_value=4.5840656862597235, g_value=4.049496691127244, h_value=0.5345689951324796, id=26, parent=25]
new 		SEARCH_STATE [f_value=4.5840656862597235, g_value=4.069138672492943, h_value=0.5149270137667809, id=28, parent=26]
popped 		SEARCH_STATE [f_value=4.5840656862597235, g_value=4.069138672492943, h_value=0.5149270137667809, id=28, parent=26]
new 		SEARCH_STATE [f_value=4.798517085471384, g_value=4.323451398973457, h_value=0.4750656864979268, id=29, parent=28]
new 		SEARCH_STATE [f_value=5.578327348701877, g_value=4.069138672492943, h_value=1.509188676208934, id=30, parent=28]
popped 		SEARCH_STATE [f_value=4.622787937601521, g_value=4.049496691127244, h_value=0.5732912464742764, id=24, parent=25]
new 		SEARCH_STATE [f_value=4.641873471443376, g_value=4.049496691127244, h_value=0.5923767803161323, id=22, parent=24]
popped 		SEARCH_STATE [f_value=4.641873471443376, g_value=4.049496691127244, h_value=0.5923767803161323, id=22, parent=24]
new 		SEARCH_STATE [f_value=7.332762328014325, g_value=4.049496691127244, h_value=3.283265636887081, id=21, parent=22]
new 		SEARCH_STATE [f_value=4.679504671238247, g_value=4.049496691127244, h_value=0.6300079801110029, id=17, parent=22]
popped 		SEARCH_STATE [f_value=4.679504671238247, g_value=4.049496691127244, h_value=0.6300079801110029, id=17, parent=22]
new 		SEARCH_STATE [f_value=4.698055323357809, g_value=4.049496691127244, h_value=0.648558632230565, id=15, parent=17]
popped 		SEARCH_STATE [f_value=4.698055323357809, g_value=4.049496691127244, h_value=0.648558632230565, id=15, parent=17]
popped 		SEARCH_STATE [f_value=4.798517085471384, g_value=4.323451398973457, h_value=0.4750656864979268, id=29, parent=28]
new 		SEARCH_STATE [f_value=5.069958578069279, g_value=4.615117832475821, h_value=0.4548407455934579, id=31, parent=29]
popped 		SEARCH_STATE [f_value=5.069958578069279, g_value=4.615117832475821, h_value=0.4548407455934579, id=31, parent=29]
new 		SEARCH_STATE [f_value=5.6150867200263885, g_value=5.201297272362122, h_value=0.4137894476642668, id=32, parent=31]
updated 	SEARCH_STATE [f_value=5.290809598551153, g_value=4.615117832475821, h_value=0.6756917660753317, id=33, parent=31]
popped 		SEARCH_STATE [f_value=5.290809598551153, g_value=4.615117832475821, h_value=0.6756917660753317, id=33, parent=31]
new 		SEARCH_STATE [f_value=5.61993051758924, g_value=4.615117832475821, h_value=1.0048126851134185, id=35, parent=33]
popped 		SEARCH_STATE [f_value=5.578327348701877, g_value=4.069138672492943, h_value=1.509188676208934, id=30, parent=28]
new 		SEARCH_STATE [f_value=5.9359943756479625, g_value=4.069138672492943, h_value=1.86685570315502, id=34, parent=30]
popped 		SEARCH_STATE [f_value=5.6150867200263885, g_value=5.201297272362122, h_value=0.4137894476642668, id=32, parent=31]
new 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.4955058930960305, h_value=0.3929571731877796, id=38, parent=32]
popped 		SEARCH_STATE [f_value=5.61993051758924, g_value=4.615117832475821, h_value=1.0048126851134185, id=35, parent=33]
new 		SEARCH_STATE [f_value=6.3339513067477995, g_value=4.615117832475821, h_value=1.7188334742719777, id=39, parent=35]
popped 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.4955058930960305, h_value=0.3929571731877796, id=38, parent=32]
updated 	SEARCH_STATE [f_value=6.591058077878806, g_value=6.085619687112803, h_value=0.5054383907660023, id=40, parent=38]
new 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.5129197269611705, h_value=0.37554333932263967, id=41, parent=38]
popped 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.5129197269611705, h_value=0.37554333932263967, id=41, parent=38]
FOUND PATH
new 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.745694444108846, h_value=0.1427686221749639, id=42, parent=41]
popped 		SEARCH_STATE [f_value=5.88846306628381, g_value=5.745694444108846, h_value=0.1427686221749639, id=42, parent=41]
updated 	SEARCH_STATE [f_value=7.370151260879089, g_value=5.745694444108846, h_value=1.6244568167702427, id=43, parent=42]
popped 		SEARCH_STATE [f_value=5.9359943756479625, g_value=4.069138672492943, h_value=1.86685570315502, id=34, parent=30]
new 		SEARCH_STATE [f_value=6.254425291577574, g_value=4.069138672492943, h_value=2.185286619084631, id=37, parent=34]
popped 		SEARCH_STATE [f_value=6.254425291577574, g_value=4.069138672492943, h_value=2.185286619084631, id=37, parent=34]
updated 	SEARCH_STATE [f_value=6.4794136323893206, g_value=4.294127013304689, h_value=2.185286619084631, id=44, parent=37]
new 		SEARCH_STATE [f_value=6.693931974522011, g_value=4.069138672492943, h_value=2.6247933020290684, id=45, parent=37]
popped 		SEARCH_STATE [f_value=6.3339513067477995, g_value=4.615117832475821, h_value=1.7188334742719777, id=39, parent=35]
updated 	SEARCH_STATE [f_value=6.629080009856459, g_value=4.910246535584481, h_value=1.7188334742719777, id=47, parent=39]
popped 		SEARCH_STATE [f_value=6.4794136323893206, g_value=4.294127013304689, h_value=2.185286619084631, id=44, parent=37]
new 		SEARCH_STATE [f_value=6.536369427802574, g_value=4.539258831384553, h_value=1.9971105964180211, id=39, parent=44]
popped 		SEARCH_STATE [f_value=6.536369427802574, g_value=4.539258831384553, h_value=1.9971105964180211, id=39, parent=44]
new 		SEARCH_STATE [f_value=6.536369427802574, g_value=4.817535953530596, h_value=1.7188334742719777, id=35, parent=39]
updated 	SEARCH_STATE [f_value=6.629080009856459, g_value=4.910246535584481, h_value=1.7188334742719777, id=47, parent=39]
popped 		SEARCH_STATE [f_value=6.536369427802574, g_value=4.817535953530596, h_value=1.7188334742719777, id=35, parent=39]
new 		SEARCH_STATE [f_value=6.536369427802574, g_value=5.531556742689156, h_value=1.0048126851134185, id=33, parent=35]
