#Flow rate(1/s)	Mean velocity(m/s)
2.667	1.405
1.973	1.547
2.254	1.272
2.783	1.289
2.028	1.291
2.839	1.192
2.286	1.255
2.215	1.226
2.743	1.230
1.684	1.310
2.514	1.219
2.118	1.205
2.667	1.201
