90  3.6  26.12 57.52 91.32
100 11.72 30.92 55.88 85.8
110 9.84 28.0 52.24 78.2
120 2.72 17.00 38.52 61.96
140 14.64 27.84 46.88 66.16
160 4.08 16.36 32.6  52.24
180 4.12 13.68 27.64 42.52
200 4.48 13.44 25.64 42.84
220 4.32 12.56 23.4 37.48
250 82.32 89.40 98.32 109.36
