  0.8 60  46.6  1.28755365  1.60944206
  0.9 60  35.8  1.67597765  1.86219739
  1. 60  31.56  1.90114069  1.90114069
  1.1 60  28.32  2.11864407  1.92604006
  1.2 60  25.36  2.3659306  1.97160883
