#Individual density(m^(-2))		Individual velocity(m/s)
0.031	1.523
0.031	1.555
0.031	1.559
0.031	1.517
0.031	1.468
0.031	1.481
0.031	1.495
0.031	1.505
0.031	1.507
0.031	1.508
0.031	1.508
0.031	1.513
0.032	1.515
0.033	1.524
0.033	1.532
0.033	1.537
0.033	1.543
0.034	1.541
0.034	1.535
0.034	1.536
0.034	1.529
0.035	1.516
0.065	1.495
0.076	1.852
0.066	1.480
0.076	1.900
0.067	1.473
0.076	1.949
0.068	1.469
0.076	1.961
0.070	1.466
0.075	1.937
0.072	1.455
0.074	1.872
0.074	1.441
0.074	1.866
0.075	1.417
0.073	1.868
0.077	1.395
0.072	1.857
0.079	1.378
0.072	1.837
0.081	1.371
0.071	1.817
0.083	1.373
0.071	1.802
0.086	1.376
0.070	1.772
0.089	1.368
0.086	1.743
0.092	1.356
0.088	1.725
0.095	1.348
0.089	1.714
0.099	1.339
0.090	1.714
0.102	1.321
0.092	1.700
0.105	1.314
0.095	1.681
0.108	1.305
0.097	1.651
0.112	1.302
0.099	1.602
0.117	1.302
0.102	1.544
0.124	1.297
0.104	1.517
0.131	1.289
0.106	1.509
0.138	1.282
0.109	1.509
0.145	1.270
0.114	1.505
0.152	1.261
0.118	1.505
0.161	1.254
0.123	1.511
0.173	1.248
0.127	1.518
0.188	1.249
0.130	1.522
0.204	1.251
0.132	1.522
0.219	1.252
0.134	1.536
0.237	1.252
0.135	1.550
0.256	1.264
0.136	1.570
0.275	1.264
0.137	1.577
0.292	1.260
0.138	1.582
0.307	1.257
0.140	1.586
0.325	1.263
0.142	1.584
0.347	1.270
0.143	1.583
0.367	1.292
0.145	1.587
0.382	1.314
0.147	1.619
0.393	1.322
0.151	1.660
0.398	1.330
0.155	1.700
0.278	1.666
0.402	1.324
0.160	1.731
0.299	1.684
0.399	1.316
0.167	1.753
0.321	1.713
0.397	1.309
0.174	1.752
0.343	1.722
0.397	1.306
0.674	1.302
0.181	1.743
0.367	1.713
0.398	1.314
0.663	1.317
