s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 5.7950863E+001, 1.2500612E+001,-3.7611042E+000,-3.2099033E+000,-2.3910246E+000, 2.5555968E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1062378E+000, 3.1411352E+000, 6.5707755E-004, 6.5707755E-004
 5.8123596E+001, 1.2500868E+001,-3.0505365E+000,-3.1970832E+000,-2.3964413E+000, 2.5562832E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1345861E+000, 3.8593634E+000, 6.5707755E-004, 6.5707755E-004
 5.8296329E+001, 1.2501039E+001,-3.3216110E+000,-3.1985420E+000,-2.4014972E+000, 2.5569439E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8544607E+000, 3.5819453E+000, 6.5707755E-004, 6.5707755E-004
 5.8469059E+001, 1.2501304E+001,-3.4326380E+000,-3.1959994E+000,-2.4040749E+000, 2.5580220E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5791553E+000, 3.4711495E+000, 6.5707755E-004, 6.5707755E-004
 5.8641792E+001, 1.2501483E+001,-3.8656591E+000,-3.1987345E+000,-2.4051846E+000, 2.5589643E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4694636E+000, 3.0344642E+000, 6.5707755E-004, 6.5707755E-004
 5.8814526E+001, 1.2501541E+001,-3.8096686E+000,-3.1939056E+000,-2.4011206E+000, 2.5598643E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0344299E+000, 3.0994062E+000, 6.5707755E-004, 6.5707755E-004
 5.8987259E+001, 1.2501358E+001,-3.8039949E+000,-3.1907146E+000,-2.4002608E+000, 2.5606254E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0968015E+000, 3.1089485E+000, 6.5707755E-004, 6.5707755E-004
 5.9159992E+001, 1.2501075E+001,-3.8144647E+000,-3.1887703E+000,-2.3998320E+000, 2.5613393E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1059907E+000, 3.1005695E+000, 6.5707755E-004, 6.5707755E-004
 5.9332722E+001, 1.2500754E+001,-3.8252985E+000,-3.1888032E+000,-2.3998945E+000, 2.5619433E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0967318E+000, 3.0893196E+000, 6.5707755E-004, 6.5707755E-004
 5.9505455E+001, 1.2500462E+001,-3.8425931E+000,-3.1911420E+000,-2.4006656E+000, 2.5624382E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0847515E+000, 3.0686238E+000, 6.5707755E-004, 6.5707755E-004
