#Flow at exit NaN( ID 1 )
#Time (s)  cummulative number of agents 

45.083333  1
49.041667  2
50.250000  3
53.333333  4
54.458333  5
55.666667  6
56.541667  7
57.750000  8
58.833333  9
59.291667  10
60.375000  11
60.500000  12
61.708333  13
62.958333  14
64.166667  15
65.375000  16
66.583333  17
67.833333  18

