-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648
-2147483648,280,268,256,244,233,223,215,208,204,201,200,201,204,208,215,223,233,244,256,268,280,-2147483648
-2147483648,268,252,240,228,216,206,197,189,184,181,180,181,184,189,197,206,216,228,240,252,268,-2147483648
-2147483648,256,240,224,212,200,189,178,171,164,161,160,161,164,171,178,189,200,212,224,240,256,-2147483648
-2147483648,244,228,212,196,184,172,161,152,145,141,140,141,145,152,161,172,184,196,212,228,244,-2147483648
-2147483648,233,216,200,184,168,156,144,134,126,122,120,122,126,134,144,156,168,184,200,216,233,-2147483648
-2147483648,223,206,189,172,156,140,128,117,108,102,100,102,108,117,128,140,156,172,189,206,223,-2147483648
-2147483648,215,197,178,161,144,128,112,100,89,82,80,82,89,100,112,128,144,161,178,197,215,-2147483648
-2147483648,208,189,171,152,134,117,100,84,72,63,60,63,72,84,100,117,134,152,171,189,208,-2147483648
-2147483648,204,184,164,145,126,108,89,72,56,45,40,45,56,72,89,108,126,145,164,184,204,-2147483648
-2147483648,201,181,161,141,122,102,82,63,45,28,20,28,45,63,82,102,122,141,161,181,201,-2147483648
-2147483648,200,180,160,140,120,100,80,60,40,20,0,20,40,60,80,100,120,140,160,180,200,-2147483648
-2147483648,201,181,161,141,122,102,82,63,45,28,20,28,45,63,82,102,122,141,161,181,201,-2147483648
-2147483648,204,184,164,145,126,108,89,72,56,45,40,45,56,72,89,108,126,145,164,184,204,-2147483648
-2147483648,208,189,171,152,134,117,100,84,72,63,60,63,72,84,100,117,134,152,171,189,208,-2147483648
-2147483648,215,197,178,161,144,128,112,100,89,82,80,82,89,100,112,128,144,161,178,197,215,-2147483648
-2147483648,223,206,189,172,156,140,128,117,108,102,100,102,108,117,128,140,156,172,189,206,223,-2147483648
-2147483648,233,216,200,184,168,156,144,134,126,122,120,122,126,134,144,156,168,184,200,216,233,-2147483648
-2147483648,244,228,212,196,184,172,161,152,145,141,140,141,145,152,161,172,184,196,212,228,244,-2147483648
-2147483648,256,240,224,212,200,189,178,171,164,161,160,161,164,171,178,189,200,212,224,240,256,-2147483648
-2147483648,268,252,240,228,216,206,197,189,184,181,180,181,184,189,197,206,216,228,240,252,268,-2147483648
-2147483648,280,268,256,244,233,223,215,208,204,201,200,201,204,208,215,223,233,244,256,268,280,-2147483648
-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648
